,3,4,5,6,7,8
Date,7AM,10AM,1PM,4PM,7PM,10PM
CLEVELAND,light snow,overcast clouds,broken clouds,broken clouds,scattered clouds,clear sky
C1 TEMPS,37,40,44,46,43,42
"WASHINGTON, DC",scattered clouds,broken clouds,broken clouds,broken clouds,broken clouds,broken clouds
C2 TEMPS,33,39,44,45,41,40
GRAND RAPIDS,overcast clouds,overcast clouds,overcast clouds,broken clouds,scattered clouds,broken clouds
C3 TEMPS,37,40,44,44,39,39
DALLAS,overcast clouds,overcast clouds,overcast clouds,overcast clouds,overcast clouds,overcast clouds
C4 TEMPS,52,54,62,67,66,64
NASHVILLE,clear sky,clear sky,clear sky,clear sky,few clouds,overcast clouds
C5 TEMPS,38,45,55,57,51,49
INDIANAPOLIS,few clouds,few clouds,scattered clouds,clear sky,clear sky,broken clouds
C6 TEMPS,36,41,50,53,47,46
WEST PALM BEACH,broken clouds,overcast clouds,overcast clouds,broken clouds,overcast clouds,broken clouds
C7 TEMPS,66,70,71,71,70,69
